runner,scenario,lr,rep,tok_s,elapsed_sec
orig,shakespeare,0.0001,1,43456.0,4.90
orig,shakespeare,0.0001,2,42835.7,4.96
llm,shakespeare,0.0001,1,43408.4,6.71
llm,shakespeare,0.0001,2,43195.8,7.86
llm_pho,shakespeare,0.0001,1,43531.8,6.68
llm_pho,shakespeare,0.0001,2,43347.6,6.54
orig,shakespeare,0.0003,1,43348.4,4.46
orig,shakespeare,0.0003,2,43315.7,4.47
llm,shakespeare,0.0003,1,43322.7,7.76
llm,shakespeare,0.0003,2,42798.1,6.52
llm_pho,shakespeare,0.0003,1,43431.7,6.55
llm_pho,shakespeare,0.0003,2,43023.3,6.71
orig,shakespeare,0.001,1,43009.2,4.58
orig,shakespeare,0.001,2,42918.9,4.61
llm,shakespeare,0.001,1,43008.0,8.03
llm,shakespeare,0.001,2,43137.2,6.76
llm_pho,shakespeare,0.001,1,42897.7,6.85
llm_pho,shakespeare,0.001,2,42942.7,6.82
orig,code,0.0001,1,42839.3,4.74
orig,code,0.0001,2,42631.8,5.79
llm,code,0.0001,1,44131.9,6.65
llm,code,0.0001,2,42673.0,6.64
llm_pho,code,0.0001,1,42645.5,6.80
llm_pho,code,0.0001,2,42544.5,6.79
orig,code,0.0003,1,42154.9,6.04
orig,code,0.0003,2,42252.4,4.63
llm,code,0.0003,1,43450.2,6.50
llm,code,0.0003,2,43060.0,6.66
llm_pho,code,0.0003,1,42712.5,6.81
llm_pho,code,0.0003,2,42427.6,8.22
orig,code,0.001,1,42218.3,4.62
orig,code,0.001,2,41340.3,4.54
llm,code,0.001,1,42503.1,6.66
llm,code,0.001,2,42770.6,6.80
llm_pho,code,0.001,1,5989.7,8.21
llm_pho,code,0.001,2,40934.4,6.94
orig,german,0.0001,1,45351.8,4.31
orig,german,0.0001,2,42592.4,4.33
llm,german,0.0001,1,42887.5,6.68
llm,german,0.0001,2,42320.7,6.58
llm_pho,german,0.0001,1,40582.5,8.36
llm_pho,german,0.0001,2,45354.3,6.78
orig,german,0.0003,1,45700.4,4.52
orig,german,0.0003,2,42870.6,4.47
llm,german,0.0003,1,42311.7,6.75
llm,german,0.0003,2,41068.1,8.40
llm_pho,german,0.0003,1,41028.4,7.10
llm_pho,german,0.0003,2,45096.2,6.41
orig,german,0.001,1,42578.6,4.46
orig,german,0.001,2,41883.4,4.74
llm,german,0.001,1,40868.8,6.78
llm,german,0.001,2,40975.3,8.40
llm_pho,german,0.001,1,45452.7,6.69
llm_pho,german,0.001,2,42770.0,6.57
orig,shakespeare_long,0.0001,1,40860.8,4.79
orig,shakespeare_long,0.0001,2,40771.8,4.59
llm,shakespeare_long,0.0001,1,39102.3,8.76
llm,shakespeare_long,0.0001,2,43179.2,6.96
llm_pho,shakespeare_long,0.0001,1,41109.7,6.58
llm_pho,shakespeare_long,0.0001,2,40552.3,6.82
orig,shakespeare_long,0.0003,1,39893.3,4.73
orig,shakespeare_long,0.0003,2,39323.6,6.38
llm,shakespeare_long,0.0003,1,39993.4,6.88
llm,shakespeare_long,0.0003,2,40850.6,6.74
llm_pho,shakespeare_long,0.0003,1,43304.2,6.51
llm_pho,shakespeare_long,0.0003,2,40774.0,6.90
orig,shakespeare_long,0.001,1,39368.2,6.25
orig,shakespeare_long,0.001,2,39344.7,4.70
llm,shakespeare_long,0.001,1,41484.6,6.64
llm,shakespeare_long,0.001,2,42979.3,6.61
llm_pho,shakespeare_long,0.001,1,40525.1,6.82
llm_pho,shakespeare_long,0.001,2,38973.0,8.65
